STATE,SEASON,EVENT_TYPE,min,max,mean,std,EVENT_COUNT,WEEKLY_PROB,z_score,severity,raw_score,severity_min,severity_max
CONNECTICUT,Fall,Coastal Flood,0.0,0.0,0.0,0.0,19,0.0475502685151602,-0.1645844900527907,0.0,3.809510053703032,0.0,0.0
CONNECTICUT,Fall,Cold/Wind Chill,0.0,0.0,0.0,0.0,4,0.010203992639327142,-0.1645844900527907,0.0,0.8020407985278655,0.0,0.0
CONNECTICUT,Fall,Drought,0.0,0.0,0.0,0.0,18,0.0451049560402379,-0.1645844900527907,0.0,3.6090209912080478,0.0,0.0
CONNECTICUT,Fall,Excessive Heat,0.0,0.0,0.0,,1,0.0025608180609902886,-0.1645844900527907,0.0,0.20051216361219806,,
CONNECTICUT,Fall,Flash Flood,0.0,2.0,0.020618556701030927,0.2025424637009513,194,0.39191213790745105,-0.15454422573809287,0.004233278549728572,38.89075356160211,0.0,0.0458180838989577
CONNECTICUT,Fall,Flood,0.0,2.0,0.07407407407407407,0.38005847503304596,81,0.18754301497899717,-0.1285139108481355,0.015208445160135982,16.281953047440243,0.0,0.09323977457513334
CONNECTICUT,Fall,Frost/Freeze,0.0,0.0,0.0,0.0,10,0.025315086291847866,-0.1645844900527907,0.0,2.0050630172583697,0.0,0.0
CONNECTICUT,Fall,Hail,0.0,0.0,0.0,0.0,27,0.06688867815183386,-0.1645844900527907,0.0,5.413377735630367,0.0,0.0
CONNECTICUT,Fall,Heat,0.0,0.0,0.0,0.0,6,0.015266876750508418,-0.1645844900527907,0.0,1.2030533753501018,0.0,0.0
CONNECTICUT,Fall,Heavy Rain,0.0,4.0,0.10714285714285714,0.5617690055391232,56,0.13375694306270225,-0.11241097370320012,0.02199792960662526,11.291037102898256,0.0,0.13733697663760466
CONNECTICUT,Fall,Heavy Snow,0.0,2.0,0.10714285714285714,0.41626965212518585,28,0.06927820647773708,-0.11241097370320012,0.02199792960662526,5.678141355581262,0.0,0.10746392098498467
CONNECTICUT,Fall,High Wind,0.0,4.0,0.17647058823529413,0.6357620313549102,102,0.23013373538604065,-0.07865163959464153,0.03623188405797102,20.551909100018385,0.0,0.1667627359062014
CONNECTICUT,Fall,Ice Storm,0.0,0.0,0.0,0.0,2,0.005115078332839085,-0.1645844900527907,0.0,0.40102301566656784,0.0,0.0
CONNECTICUT,Fall,Lightning,0.0,12.0,1.875,4.155461122770509,8,0.02030386381287086,0.7484520460650442,0.3849637681159421,2.7290607727625744,0.0,1.2381381532258293
CONNECTICUT,Fall,Rip Current,4.0,4.0,4.0,,1,0.0025608180609902886,1.7832267869985905,0.8212560386473431,2.600512163612198,,
CONNECTICUT,Fall,Strong Wind,0.0,3.0,0.06481481481481481,0.36870949860006225,108,0.24188718876227622,-0.13302273324871738,0.013307389515118985,21.687266326641346,0.0,0.08900861507310279
CONNECTICUT,Fall,Thunderstorm Wind,0.0,4.0,0.03755868544600939,0.3481726591063795,213,0.42082687903076144,-0.14629518228705005,0.007711324306547821,42.70670058707376,0.0,0.07919604900230207
CONNECTICUT,Fall,Tornado,0.0,0.0,0.0,0.0,10,0.025315086291847866,-0.1645844900527907,0.0,2.0050630172583697,0.0,0.0
CONNECTICUT,Fall,Tropical Storm,0.0,0.0,0.0,0.0,8,0.02030386381287086,-0.1645844900527907,0.0,1.6040607727625742,0.0,0.0
CONNECTICUT,Fall,Winter Storm,0.0,0.0,0.0,0.0,15,0.03773128563674277,-0.1645844900527907,0.0,3.0075462571273484,0.0,0.0
CONNECTICUT,Fall,Winter Weather,0.0,0.0,0.0,0.0,24,0.05968322098604295,-0.1645844900527907,0.0,4.81193664419721,0.0,0.0
